"value_id","attribute_id","store_id","row_id","value"
"1311","157","0","105","18"
"1321","157","0","106","18"
"1331","157","0","107","18"
"1341","157","0","108","18"
"1510","157","0","117","18"
"1520","157","0","118","18"
"1530","157","0","119","18"
"1540","157","0","120","18"
"1550","157","0","121","18"
"1559","157","0","122","17"
"1569","157","0","123","17"
"1579","157","0","124","17"
"1589","157","0","125","17"
"1599","157","0","126","17"
"1609","157","0","127","17"
"1619","157","0","128","17"
"1629","157","0","129","17"
"1639","157","0","130","17"
"1648","157","0","131","18"
"1658","157","0","132","18"
"1668","157","0","133","18"
"2053","157","0","169","17"
"2063","157","0","170","17"
"2073","157","0","171","17"
"2083","157","0","172","17"
"2093","157","0","173","17"
"2103","157","0","174","17"
"2113","157","0","175","17"
"2162","157","0","180","17"
"2172","157","0","181","17"
"2182","157","0","182","17"
"2192","157","0","183","17"
"2202","157","0","184","17"
"2212","157","0","185","17"
"2478","157","0","210","19"
"2567","157","0","218","19"
"2578","157","0","219","19"
"2588","157","0","220","19"
"3467","157","0","304","17"
"3477","157","0","305","17"
"3486","157","0","306","17"
"3496","157","0","307","17"
"3506","157","0","308","17"
"3835","157","0","341","17"
"3845","157","0","342","17"
"3855","157","0","343","17"
"3986","157","0","355","20"
"4210","157","0","376","17"
"4220","157","0","377","17"
"4230","157","0","378","17"
"4240","157","0","379","17"
"4249","157","0","380","17"
"4259","157","0","381","17"
"4269","157","0","382","17"
"4279","157","0","383","17"
"4289","157","0","384","17"
"4299","157","0","385","17"
"4309","157","0","386","17"
"4319","157","0","387","17"
"4567","157","0","410","20"
"4579","157","0","411","20"
"4591","157","0","412","20"
"4603","157","0","413","20"
"4615","157","0","414","20"
"4627","157","0","415","17"
"4637","157","0","416","17"
"4647","157","0","417","17"
"4657","157","0","418","17"
"4667","157","0","419","17"
"4677","157","0","420","17"
"4687","157","0","421","17"
"4697","157","0","422","17"
"4707","157","0","423","17"
"4717","157","0","424","17"
"4726","157","0","425","20"
"4738","157","0","426","20"
"4750","157","0","427","20"
"4762","157","0","428","20"
"5332","157","0","482","17"
"5342","157","0","483","17"
"5352","157","0","484","17"
"5362","157","0","485","17"
"5372","157","0","486","17"
"5382","157","0","487","17"
"5392","157","0","488","17"
"5402","157","0","489","17"
"5412","157","0","490","17"
"5422","157","0","491","17"
"5432","157","0","492","17"
"5442","157","0","493","17"
"5452","157","0","494","17"
"5462","157","0","495","17"
"5472","157","0","496","17"
"5482","157","0","497","17"
"5492","157","0","498","17"
"6051","157","0","552","21"
"6060","157","0","553","18"
"6070","157","0","554","18"
"6080","157","0","555","18"
"6090","157","0","556","18"
"6100","157","0","557","18"
"6110","157","0","558","18"
"6120","157","0","559","18"
"6130","157","0","560","18"
"6140","157","0","561","18"
"6149","157","0","562","18"
"6259","157","0","573","18"
"6269","157","0","574","18"
"6279","157","0","575","18"
"6289","157","0","576","18"
"6299","157","0","577","18"
"6309","157","0","578","18"
"6319","157","0","579","18"
"6329","157","0","580","18"
"6339","157","0","581","18"
"6348","157","0","582","18"
"6478","157","0","595","18"
"6488","157","0","596","18"
"6497","157","0","597","18"
"6758","157","0","621","19"
"6780","157","0","623","19"
"6791","157","0","624","19"
"6802","157","0","625","19"
"6932","157","0","636","20"
"6944","157","0","637","20"
"6956","157","0","638","20"
"6968","157","0","639","20"
"6980","157","0","640","20"
"6993","157","0","641","20"
"7366","157","0","675","20"
"7590","157","0","695","20"
"7638","157","0","699","20"
"7898","157","0","721","18"
"7907","157","0","722","20"
"7919","157","0","723","20"
"7931","157","0","724","20"
"7943","157","0","725","20"
"7955","157","0","726","20"
"8038","157","0","734","20"
"8050","157","0","735","20"
"8062","157","0","736","20"
"8074","157","0","737","20"
"8086","157","0","738","20"
"8098","157","0","739","20"
"8112","157","0","740","18"
"8122","157","0","741","18"
"8132","157","0","742","18"
"8142","157","0","743","18"
"8152","157","0","744","18"
"8162","157","0","745","18"
"8172","157","0","746","18"
"8182","157","0","747","18"
"8225","157","0","750","29"
"8237","157","0","751","29"
"8249","157","0","752","29"
"8272","157","0","754","29"
"8284","157","0","755","29"
"8297","157","0","756","29"
"8309","157","0","757","29"
"8321","157","0","758","29"
"8332","157","0","759","29"
"8343","157","0","760","29"
"8353","157","0","761","29"
"8364","157","0","762","29"
"8375","157","0","763","29"
"8385","157","0","764","29"
"8397","157","0","765","29"
"8410","157","0","766","29"
"8422","157","0","767","29"
"8434","157","0","768","29"
"8445","157","0","769","29"
"8457","157","0","770","29"
"8469","157","0","771","29"
"8488","157","0","773","18"
"8498","157","0","774","18"
"8534","157","0","772","18"
"8569","157","0","781","18"
"8579","157","0","782","18"
"8589","157","0","783","18"
"8599","157","0","784","18"
"8609","157","0","785","18"
"8618","157","0","786","18"
"8628","157","0","787","18"
"9094","157","0","834","18"
"9226","157","0","847","17"
"9282","157","0","848","17"
"9297","157","0","849","17"
"9317","157","0","851","17"
"9327","157","0","852","17"
"9337","157","0","853","17"
"9347","157","0","854","17"
"9357","157","0","855","17"
"9367","157","0","856","17"
"9444","157","0","862","17"
"9454","157","0","863","17"
"9464","157","0","864","17"
"9474","157","0","865","17"
"9484","157","0","866","17"
"9494","157","0","867","17"
"9504","157","0","868","17"
"9514","157","0","869","17"
"9524","157","0","870","17"
"9534","157","0","871","17"
"9543","157","0","872","17"
"9553","157","0","873","17"
"9725","157","0","890","29"
"10159","157","0","935","17"
"10169","157","0","936","17"
"10358","157","0","956","22"
"10365","157","0","957","22"
"10372","157","0","958","29"
"10422","157","0","961","17"
"10431","157","0","962","17"
"10442","157","0","963","17"
"10452","157","0","964","17"
"10462","157","0","965","17"
"10472","157","0","966","17"
"10482","157","0","967","17"
"10492","157","0","968","17"
"10502","157","0","969","17"
"10512","157","0","970","17"
"10522","157","0","971","17"
"10532","157","0","972","17"
"10542","157","0","973","17"
"10752","157","0","993","19"
"10764","157","0","994","19"
"10776","157","0","995","19"
"10788","157","0","996","19"
"10846","157","0","1001","30"
"10854","157","0","1002","30"
"10862","157","0","1003","30"
"10887","157","0","1004","30"
"10898","157","0","1005","30"
"10909","157","0","1006","30"
"10919","157","0","1007","30"
"10930","157","0","1008","30"
"10941","157","0","1009","30"
"10988","157","0","1013","30"
"11000","157","0","1014","30"
"11236","157","0","1040","22"
"11243","157","0","1041","22"
"11250","157","0","1042","22"
"11257","157","0","1043","22"
"11264","157","0","1044","22"
"11271","157","0","1045","22"
"11278","157","0","1046","22"
"11323","157","0","1051","22"
"11329","157","0","1052","22"
"11335","157","0","1053","22"
"11341","157","0","1054","22"
"11414","157","0","1064","22"
"11422","157","0","1065","22"
"11429","157","0","1066","22"
"11453","157","0","1069","22"
"11461","157","0","1070","22"
"11469","157","0","1071","22"
"11477","157","0","1072","22"
"11485","157","0","1073","22"
"11493","157","0","1074","22"
"11500","157","0","1075","22"
"11508","157","0","1076","22"
"11516","157","0","1077","22"
"11524","157","0","1078","22"
"11532","157","0","1079","22"
"11539","157","0","1080","22"
"11547","157","0","1081","22"
"11555","157","0","1082","22"
"11563","157","0","1083","22"
"11571","157","0","1084","22"
"11578","157","0","1085","22"
"11586","157","0","1086","22"
"12628","157","0","1199","23"
"12638","157","0","1200","23"
"12647","157","0","1201","17"
"12657","157","0","1202","17"
"12667","157","0","1203","17"
"12677","157","0","1204","17"
"12687","157","0","1205","17"
"12697","157","0","1206","17"
"12707","157","0","1207","17"
"12717","157","0","1208","17"
"12727","157","0","1209","17"
"12737","157","0","1210","17"
"12747","157","0","1211","17"
"12757","157","0","1212","17"
"12887","157","0","1225","17"
"12907","157","0","1227","30"
"12928","157","0","1229","30"
"13053","157","0","1240","30"
"13065","157","0","1241","30"
"13076","157","0","1242","30"
"13087","157","0","1243","30"
"13098","157","0","1244","30"
"13108","157","0","1245","30"
"13119","157","0","1246","30"
"13130","157","0","1247","30"
"13140","157","0","1248","30"
"13151","157","0","1249","30"
"13162","157","0","1250","30"
"13173","157","0","1251","30"
"13183","157","0","1252","30"
"13205","157","0","1253","30"
"13848","157","0","1317","17"
"14197","157","0","1352","17"
"14207","157","0","1353","17"
"14217","157","0","1354","17"
"14226","157","0","1355","17"
"14236","157","0","1356","17"
"14246","157","0","1357","17"
"14355","157","0","1368","17"
"14365","157","0","1369","17"
"14375","157","0","1370","17"
"14492","157","0","1382","17"
"14502","157","0","1383","17"
"14551","157","0","1388","17"
"14561","157","0","1389","17"
"14571","157","0","1390","17"
"14581","157","0","1391","17"
"14591","157","0","1392","17"
"14601","157","0","1393","17"
"14611","157","0","1394","17"
"14620","157","0","1395","17"
"14630","157","0","1396","17"
"14640","157","0","1397","17"
"14767","157","0","1410","23"
"14777","157","0","1411","23"
"14787","157","0","1412","17"
"14797","157","0","1413","17"
"14807","157","0","1414","17"
"14837","157","0","1417","17"
"14857","157","0","1419","17"
"14877","157","0","1421","17"
"14934","157","0","1427","17"
"14944","157","0","1428","17"
"14954","157","0","1429","17"
"14964","157","0","1430","17"
"14974","157","0","1431","17"
"14984","157","0","1432","17"
"14994","157","0","1433","17"
"15004","157","0","1434","17"
"15014","157","0","1435","17"
"15023","157","0","1436","24"
"15032","157","0","1437","24"
"15041","157","0","1438","17"
"15051","157","0","1439","17"
"15061","157","0","1440","17"
"15071","157","0","1441","17"
"15080","157","0","1442","24"
"15090","157","0","1443","24"
"15100","157","0","1444","24"
"15110","157","0","1445","24"
"15120","157","0","1446","24"
"15130","157","0","1447","24"
"15139","157","0","1448","24"
"15149","157","0","1449","24"
"15159","157","0","1450","24"
"15169","157","0","1451","24"
"15178","157","0","1452","17"
"15188","157","0","1453","17"
"15198","157","0","1454","17"
"15208","157","0","1455","17"
"15218","157","0","1456","17"
"15228","157","0","1457","17"
"15238","157","0","1458","17"
"15248","157","0","1459","17"
"15258","157","0","1460","17"
"15493","157","0","1484","24"
"15503","157","0","1485","24"
"15513","157","0","1486","24"
"15523","157","0","1487","24"
"15533","157","0","1488","24"
"15799","157","0","1515","17"
"15809","157","0","1516","17"
"15819","157","0","1517","17"
"15829","157","0","1518","17"
"15839","157","0","1519","17"
"15849","157","0","1520","17"
"15859","157","0","1521","17"
"15869","157","0","1522","17"
"15879","157","0","1523","17"
"15889","157","0","1524","17"
"15899","157","0","1525","17"
"15909","157","0","1526","17"
"15918","157","0","1527","17"
"15928","157","0","1528","17"
"15938","157","0","1529","17"
"15948","157","0","1530","17"
"15958","157","0","1531","17"
"15968","157","0","1532","17"
"15978","157","0","1533","17"
"15988","157","0","1534","17"
"15998","157","0","1535","17"
"16008","157","0","1536","17"
"16018","157","0","1537","17"
"16027","157","0","1538","24"
"16037","157","0","1539","24"
"16047","157","0","1540","24"
"16057","157","0","1541","24"
"16066","157","0","1542","24"
"16076","157","0","1543","24"
"16086","157","0","1544","24"
"16096","157","0","1545","24"
"16106","157","0","1546","24"
"16116","157","0","1547","24"
"16125","157","0","1548","24"
"16135","157","0","1549","24"
"16145","157","0","1550","24"
"16155","157","0","1551","24"
"16165","157","0","1552","24"
"16174","157","0","1553","24"
"16184","157","0","1554","24"
